text,pos,sentiment,tense
""" In the Senate, the House rules the line between when it will move to amend one of its senior members by o’clock rather than dev.",PUNCT ADP DET PROPN PUNCT DET PROPN VERB DET NOUN ADP SCONJ PRON AUX VERB PART VERB NUM ADP PRON ADJ NOUN ADP NOUN ADV ADP NOUN PUNCT,negative,future
""" Don't you ask me if the lack of facts I have yet even been shown ought to be going to be contributing to the justice system? """,PUNCT AUX PART PRON VERB PRON SCONJ DET NOUN ADP NOUN PRON AUX ADV ADV VERB AUX PART AUX VERB PART AUX VERB ADP DET NOUN NOUN PUNCT PUNCT,negative,past
"By the end of next month or year, mortgage debt will not have 50 % of it.",ADP DET NOUN ADP ADJ NOUN CCONJ NOUN PUNCT NOUN NOUN AUX PART VERB NUM NOUN ADP PRON PUNCT,negative,future
Research on moral licensing can also fail to provide for a practical answer.,NOUN ADP ADJ NOUN AUX ADV VERB PART VERB ADP DET ADJ NOUN PUNCT,negative,future
"New York Governor Andrew Cuomo wants the Baucus responsible action Thursday to tie off the partisan gridlock efforts on his watch, and to have the law to nullify a long - standing party process.",PROPN PROPN PROPN VERB DET PROPN ADJ NOUN PROPN PART VERB ADP DET ADJ NOUN NOUN ADP PRON NOUN PUNCT CCONJ PART VERB DET NOUN PART VERB DET ADV PUNCT VERB NOUN NOUN PUNCT,negative,present
"Hampshire have a combined more violent homicides than any city in 2013 and 2014, constituting one victim and two officers with one victim for each homicide.",PROPN VERB DET ADJ ADV ADJ NOUN ADP DET NOUN ADP NUM CCONJ NUM PUNCT VERB NUM NOUN CCONJ NUM NOUN ADP NUM NOUN ADP DET NOUN PUNCT,negative,future
"Like our current funding model and many others, the Trump Foundation presidency would end the program without congressional oversight.",ADP PRON ADJ NOUN NOUN CCONJ ADJ NOUN PUNCT DET ADJ PROPN NOUN AUX VERB DET NOUN ADP ADJ NOUN PUNCT,negative,future
"So I was throwing myself a really deep breath, and created huge troubles for myself.",ADV PRON AUX VERB PRON DET ADV ADJ NOUN PUNCT CCONJ VERB ADJ NOUN ADP PRON PUNCT,negative,past
"By his standards and conclusions, the American author had been wrong.",ADP PRON NOUN CCONJ NOUN PUNCT DET ADJ NOUN AUX AUX ADJ PUNCT,negative,past
The next thing your corporate welfare system needs for the $ 300 trillion bill is that you are imposing tougher rules to force your payroll taxes.,DET ADJ NOUN PRON ADJ NOUN NOUN VERB ADP DET SYM NUM NOUN AUX SCONJ PRON AUX VERB ADJ NOUN PART VERB PRON NOUN NOUN PUNCT,negative,present
"Starting at 5:00 p.m., the National Socialist Underground burns many gay nightclubs down gay night houses, partying houses, and running away from truly safe gun plant houses.",VERB ADP NUM NOUN PUNCT DET PROPN PROPN PROPN VERB ADJ ADJ NOUN ADP ADJ NOUN NOUN PUNCT VERB NOUN PUNCT CCONJ VERB ADV ADP ADV ADJ NOUN NOUN NOUN PUNCT,negative,future
"It ’s like a 5 - star rating on Yelp reviews, damnit.com reviews.",PRON VERB ADP DET NUM PUNCT NOUN NOUN ADP SYM NUM NUM ADP PROPN NOUN PUNCT,negative,future
It ’s difficult to find singles online. ”,PRON VERB ADJ PART VERB NOUN ADV PUNCT PUNCT,negative,present
"Republicans say 90 percent are too convinced that a candidate to beat a candidate who performs in Colorado, the Senate, House and the House — not to beat Trump.",NOUN VERB NUM NOUN AUX ADV ADJ SCONJ DET NOUN PART VERB DET NOUN PRON VERB ADP PROPN PUNCT DET PROPN PUNCT PROPN CCONJ DET PROPN PUNCT PART PART VERB PROPN PUNCT,negative,future
So let the police chief of all of the social robots of ours as well as the stooggy black men.,ADV VERB DET NOUN NOUN ADP PRON ADP DET ADJ NOUN ADP PRON ADV ADV ADP DET ADJ VERB NOUN PUNCT,negative,future
Money scarce in government and private institutions does not flow from the budget.,NOUN ADJ ADP NOUN CCONJ ADJ NOUN AUX PART VERB ADP DET NOUN PUNCT,negative,present
"If left to a networking client, an untrustworthy client can not assume that this will actually the same thing.",SCONJ VERB ADP DET VERB NOUN PUNCT DET ADJ NOUN AUX PART VERB SCONJ PRON AUX ADV DET ADJ NOUN PUNCT,negative,future
"Some of these outlets hold a position that failure to respond specifically to allegations they have a questionable fundraising record, a low number of public affairs groups with a track to the truth, and a track to behind the scenes — high - profile attacks — is in decline.",PRON ADP DET NOUN VERB DET NOUN SCONJ NOUN PART VERB ADV ADP NOUN PRON VERB DET ADJ NOUN NOUN PUNCT DET ADJ NOUN ADP ADJ NOUN NOUN ADP DET NOUN ADP DET NOUN PUNCT CCONJ DET NOUN ADP ADP DET NOUN PUNCT ADV PUNCT NOUN NOUN PUNCT VERB NOUN NOUN PUNCT AUX ADP NOUN PUNCT,negative,present
He says he has “ aggravated parole problems.,PRON VERB PRON VERB PUNCT VERB NOUN NOUN PUNCT,negative,present
"That's how the imagination of the opponents seems, the hapless gay rights movement that claims all the rights of just this group of people, saying they should all rights simply vanish. """,PRON AUX SCONJ DET NOUN ADP DET NOUN VERB ADV PUNCT DET ADJ ADJ NOUN NOUN PRON VERB PRON DET DET NOUN ADP ADV DET NOUN ADP NOUN PUNCT VERB PRON AUX DET NOUN ADV VERB PUNCT PUNCT,negative,future
"In the meantime, you 'd like adding another bug.",ADP DET NOUN PUNCT PRON AUX VERB VERB DET NOUN PUNCT,negative,future
"An infected dog was given the hospital twice by police for suffering bruising the Clark ’s head that killed 20 people and injured 3, the Seattle Department of Health said.",DET VERB NOUN AUX VERB DET NOUN ADV ADP NOUN ADP VERB VERB DET PROPN NUM NOUN PRON VERB NUM NOUN CCONJ VERB NUM PUNCT DET PROPN PROPN ADP PROPN VERB PUNCT,negative,past
"A nearly Jello virus 35 % K, a powerful version of the rubella bacterium and in recent recent common viruses seems to have the mechanism out of hand in the body : Vitamin B12 carries virus a much greater weight 40 times thinner then.",DET ADV PROPN NOUN NUM NOUN PROPN PUNCT DET ADJ NOUN ADP DET NOUN NOUN CCONJ ADP ADJ ADJ NOUN VERB PART VERB DET NOUN ADP ADP NOUN ADP DET NOUN ADP DET NOUN PUNCT PROPN NUM VERB NOUN DET ADV ADJ NOUN NUM NOUN NOUN ADV PUNCT,negative,present
BRANCHURE FORD : Well I guess that kind of … offensive or not?,PROPN PROPN PUNCT INTJ PRON VERB DET NOUN PUNCT ADJ CCONJ PART ADJ PUNCT,negative,future
Baby Boomers are fleeing Virginia politics as lawmakers.,PROPN PROPN AUX VERB PROPN NOUN ADP NOUN PUNCT,negative,past
"The Hama riot was carried out Monday, Bangladesh on July 26 after an 83rd in power at dawn at dawn in turned out Davao to protest against a senior rebel commander in the capital of Hama, Bangladesh 10 in New Tianan Province.",DET PROPN NOUN AUX VERB ADP PROPN PUNCT PROPN ADP PROPN NUM ADP DET NOUN ADP NOUN ADP VERB ADP PROPN PART VERB ADP DET ADJ ADJ NOUN ADP DET NOUN ADP PROPN PUNCT PROPN NUM ADP PROPN PROPN PROPN PUNCT,negative,past
"Nope, no, they're miserable.",INTJ PUNCT INTJ PUNCT PRON AUX ADJ PUNCT,negative,future
"Rather than to alarm a "" let "" crowd into over - sensitive areas of the world and ban them from the worldwide path of destroying weapons that is harming the peaceful assembly of our own people.",ADV SCONJ PART VERB DET PUNCT VERB PUNCT NOUN ADP ADV PUNCT ADJ NOUN ADP DET NOUN CCONJ VERB PRON ADP DET ADJ NOUN ADP VERB NOUN PRON AUX VERB DET ADJ NOUN ADP PRON ADJ NOUN PUNCT,negative,present
"Even the death penalty in Egypt was forgotten, and the ultimate punishment in Yemen was not.",ADV DET NOUN NOUN ADP PROPN AUX VERB PUNCT CCONJ DET ADJ NOUN ADP PROPN AUX PART PUNCT,negative,past
"Politicians and academics, as well as those left to reform Washington, the media are in a politically correcting.",NOUN CCONJ NOUN PUNCT ADV ADV SCONJ PRON VERB PART VERB PROPN PUNCT DET NOUN AUX ADP DET ADV ADJ PUNCT,negative,future
"The warmer states more about their program delivery, but the costs remain steady and inflationary which necessitates constant cuts in both aggregate.",DET NOUN VERB ADJ ADP PRON NOUN NOUN PUNCT CCONJ DET NOUN VERB ADJ CCONJ NOUN PRON VERB ADJ NOUN ADP PRON VERB PUNCT,negative,present
It's very inconvenient to me that a very active on climate science alarmists.,PRON AUX ADV ADJ ADP PRON SCONJ DET ADV ADJ ADP NOUN NOUN NOUN PUNCT,negative,present
Mourinho is sceptical about how much we miss a game as it does n’t ’t ’t ’t ’ last man in,PROPN AUX ADJ ADP SCONJ ADJ PRON VERB DET DET NOUN SCONJ PRON AUX PROPN PART ADJ NOUN ADP DET NOUN PUNCT,negative,present
"Israel's UN resolution deplores the killing of its own American ambassador, including Hamas.",PROPN PART PROPN NOUN VERB DET NOUN ADP PRON ADJ ADJ NOUN PUNCT VERB PROPN PUNCT,negative,present
Republicans fear internet users downloads of the same material.,PROPN VERB NOUN NOUN VERB ADP DET ADJ NOUN PUNCT,negative,future
"By itself, I dismissed the submission and relapse and tried to recognize Paul's resignation as just too.",ADP PRON PUNCT PRON VERB DET NOUN CCONJ NOUN CCONJ VERB PART VERB PROPN PART NOUN ADV ADV ADV PUNCT,negative,past
"Back then, the idea was to go into there.",ADV ADV PUNCT DET NOUN AUX PART VERB ADP ADV PUNCT,negative,past
"The game has saturated areas with years ago, but not for its neat and simple mechanics.",DET NOUN AUX VERB NOUN ADP NOUN ADV PUNCT CCONJ PART ADP PRON ADJ CCONJ ADJ NOUN PUNCT,negative,present
"Especially when he was playing it while he broke and looked troubled about the injury. """,ADV SCONJ PRON AUX VERB VERB PRON SCONJ PRON VERB CCONJ VERB ADJ ADP DET NOUN PUNCT PUNCT,negative,past
"When we are in doubt, the whole image must some individual hoarding of its aspects.",SCONJ PRON AUX ADP NOUN PUNCT DET ADJ NOUN AUX DET ADJ NOUN ADP PRON NOUN PUNCT,negative,future
"That ’s very suspicous, I tell the authorities about contacts in the community about automobiles.",PRON ADV ADV ADJ PUNCT PRON VERB DET NOUN ADP NOUN ADP DET NOUN ADP NOUN PUNCT,negative,present
Here on the séance de l’Occatifical : England would only trade here for some of the cheap champagne bottles of Rumors.,ADV ADP DET NOUN X X PROPN ADP DET PROPN PUNCT PROPN AUX ADV NOUN ADV ADP PRON ADP DET ADJ NOUN NOUN ADP PROPN PUNCT,negative,future
"They hung on all the security services, except they were monitored, and Metro.",PRON VERB ADP DET DET NOUN NOUN PUNCT SCONJ PRON AUX VERB PUNCT CCONJ PROPN PUNCT,negative,past
"From what we ’re left with looking at 100,000 of these stock options, this issue won't very much bear.",ADP PRON PRON AUX VERB ADP VERB ADP NUM ADP DET NOUN NOUN PUNCT DET NOUN AUX PART ADV ADV ADJ PUNCT,negative,future
"The plane, scheduled for Japan Wednesday, will fly to Osaka's crippled by 715 Marines and crew by 120,000 Marines.",DET NOUN PUNCT VERB ADP PROPN PROPN PUNCT AUX VERB ADP PROPN PART PROPN ADP NUM PROPN CCONJ VERB ADP NUM PROPN PUNCT,negative,future
"He was propositioned a particular way, and asked what — he did n’t want to tell his audience about black people — and questions were n’t answered by folks with color.",PRON AUX VERB DET ADJ NOUN PUNCT CCONJ VERB PRON PUNCT PRON AUX PROPN VERB PART VERB PRON NOUN ADP ADJ NOUN PUNCT CCONJ NOUN AUX PROPN VERB ADP NOUN ADP NOUN PUNCT,negative,past
"In 2004 Adderalles II the hotel at the CIA held the Grand Hyatt ( Harman ) in Belgium air, and flew to Kabul was accused of murdering the American.",ADP NUM PROPN NUM DET NOUN ADP DET PROPN VERB DET PROPN PROPN PUNCT PROPN PUNCT ADP PROPN NOUN PUNCT CCONJ VERB ADP PROPN AUX VERB ADP VERB DET PROPN PUNCT,negative,past
"Many residents have walked through all this information and even though they were pleasant to them, there was a problem.",ADJ NOUN AUX VERB ADP DET DET NOUN CCONJ ADV SCONJ PRON AUX ADJ ADP PRON PUNCT PRON VERB DET NOUN PUNCT,negative,past
It had been rough history's worst on two counts in the 19th century.,PRON AUX AUX ADJ NOUN PART NOUN ADP NUM NOUN ADP DET ADJ NOUN PUNCT,negative,past
"Despite these differences in age, psychologist B.T. Barrett never complained about chronic fatigue or brain diseases.",SCONJ DET NOUN ADP NOUN PUNCT PROPN PROPN ADV VERB ADP ADJ NOUN CCONJ NOUN NOUN PUNCT,neutral,past
"They think it's become more profitable, if not better than, the strike methods already are.",PRON VERB PRON AUX VERB ADV ADJ PUNCT SCONJ PART ADJ ADP PUNCT DET NOUN NOUN ADV AUX PUNCT,neutral,present
"Tight topics like Obamacare have been championed by conservative Evangelicals, sympathetic to science and sympathetic domestic policy.",ADJ NOUN ADP PROPN AUX AUX VERB ADP ADJ NOUN PUNCT ADJ ADP NOUN CCONJ ADJ ADJ NOUN PUNCT,neutral,present
The Coalition Against Malawi published the Charter of which it claims is a clear and unambiguous condemnation of animal testing and mental health.,PROPN ADP PROPN VERB VERB DET PROPN ADP PRON PRON VERB AUX DET ADJ CCONJ ADJ NOUN ADP NOUN NOUN CCONJ ADJ NOUN PUNCT,neutral,present
"In addition to the question of which vehicle of the most popular automobile in history in terms of style, it becomes really to look at the context of the Bureau of Prisons on Monday ( June 23 ), potentially one instance of this type of brazenness in Texas by Mattox ( June 23 ), perhaps one instance of this type of snafuardy old Wailingbug.",ADP NOUN ADP DET NOUN ADP DET ADV ADJ NOUN ADP DET NOUN ADP DET NOUN ADP DET ADJ NOUN ADP NOUN ADP NOUN PUNCT PRON VERB ADV PART VERB ADP DET NOUN ADP DET PROPN ADP PROPN ADP PROPN PUNCT PROPN NUM PUNCT PUNCT ADV NUM NOUN ADP DET NOUN ADP DET PROPN NOUN PUNCT SCONJ ADJ NOUN AUX PART AUX VERB ADP DET NOUN ADP PROPN PROPN PUNCT PROPN ADP DET NOUN ADP ADJ ADJ PROPN PROPN PUNCT,neutral,present
"A simple, approachable alternative to Android and iOS will taxis, the entire time you take car, truck and traveling through a network of favorite tourist destinations destinations throughout San Francisco.",DET ADJ PUNCT NOUN ADJ NOUN ADP PROPN CCONJ PROPN AUX NOUN PUNCT DET ADJ NOUN PRON VERB NOUN PUNCT NOUN CCONJ VERB ADP DET NOUN ADP ADJ NOUN PROPN PROPN PUNCT,neutral,future
"We ’re about to go after an anecdote, get a presentation from guy in middleman to Scott. ”",PRON VERB ADP PART VERB SCONJ DET NOUN PUNCT VERB DET NOUN ADP NOUN ADP NOUN ADP PROPN PUNCT PUNCT,neutral,future
Then there is one problem if you have any ideas.,ADV PRON VERB NUM NOUN SCONJ PRON VERB DET NOUN PUNCT,neutral,present
"But if burning sites like this kind of wood can five times, smells can any longer so, four as ozone dives into space.",CCONJ SCONJ VERB NOUN ADP DET NOUN ADP NOUN AUX NUM NOUN PUNCT NOUN AUX PRON ADV ADV PUNCT NUM SCONJ NOUN VERB ADP NOUN PUNCT,neutral,future
"icating both Josh and Justin The Dominos ’ fastball velocity was and was a trade puzzle, and blowing three saves in a decent first base defense.",VERB CCONJ PROPN DET PROPN PROPN PART ADJ NOUN AUX CCONJ AUX DET NOUN NOUN PUNCT CCONJ VERB NUM NOUN ADP DET ADJ ADJ NOUN NOUN PUNCT,neutral,past
The short end had a dramatic secondary effect size to a third positive reververaging effect.,DET ADJ NOUN VERB DET ADJ ADJ NOUN NOUN ADP DET ADJ ADJ NOUN NOUN PUNCT,neutral,past
"He went on, to close out his teacher as a Christian was also fatally shot, tied up bleeding in 2012 at a religious services union.",PRON VERB ADP PUNCT PART VERB ADP PRON NOUN SCONJ DET PROPN AUX ADV ADV VERB PUNCT VERB ADP VERB ADP NUM ADP DET ADJ NOUN NOUN PUNCT,neutral,past
The spokesman for the Criminal Lawyers claims to enforce personal sanctions and order to respond to those that disagree.,DET NOUN ADP DET PROPN PROPN VERB PART VERB ADJ NOUN CCONJ NOUN PART VERB ADP PRON PRON VERB PUNCT,neutral,present
"The Pirate Party would be a liberal and progressive movement within the West, and I would still see far more extreme than their electoral successes.",DET PROPN PROPN AUX AUX DET ADJ CCONJ ADJ ADJ NOUN ADP DET PROPN PUNCT CCONJ PRON AUX ADV VERB ADV ADV ADJ ADP PRON ADJ NOUN PUNCT,neutral,future
The speaker will be the voice of the populist vote man and play the Leader Key.,DET NOUN AUX AUX DET NOUN ADP DET ADJ NOUN NOUN CCONJ VERB DET PROPN PROPN PUNCT,neutral,future
"So far, though, having Sessions have the authority to make deportation into the formerly 9,000 threshold charged by is happening.",ADV ADV PUNCT ADV PUNCT AUX NOUN VERB DET NOUN PART VERB NOUN ADP DET ADV NUM NOUN VERB ADP AUX VERB PUNCT,neutral,present
"And not every security breach will at some quick level, however, but at least one basic bug will fix for his own personal exploits, Snapimals.",CCONJ PART DET NOUN NOUN AUX ADP DET ADJ NOUN PUNCT ADV PUNCT CCONJ ADV ADV NUM ADJ NOUN AUX VERB ADP PRON ADJ ADJ NOUN PUNCT PROPN PUNCT,neutral,future
It would simply be withdrawing his patent for a cheap price and expanding the economic scope of his global empire.,PRON AUX ADV AUX VERB PRON NOUN ADP DET ADJ NOUN CCONJ VERB DET ADJ NOUN ADP PRON ADJ NOUN PUNCT,neutral,future
"If you are to tell someone interesting how things to do them in, that information covered so much.",SCONJ PRON AUX PART VERB PRON ADJ SCONJ NOUN PART VERB PRON ADP PUNCT DET NOUN VERB ADV ADJ PUNCT,neutral,past
"In fact, this is not necessarily the dominant force that tends to dominate.",ADP NOUN PUNCT PRON AUX PART ADV DET ADJ NOUN PRON VERB ADP NOUN PUNCT,neutral,present
Have we talked how many you have told us so to get our show out on your TV? ”,AUX PRON VERB SCONJ ADJ PRON AUX VERB PRON ADV PART VERB PRON NOUN ADP ADP PRON NOUN PUNCT PUNCT,neutral,past
It is a rule of the thumb to allow new developers to create new features.,PRON AUX DET NOUN ADP DET NOUN PART VERB ADJ NOUN PART VERB ADJ NOUN PUNCT,neutral,present
"Very common “ enemies ” aka techies, omnipresent <COND_TENSE> future ills, are approaching AI fulfillment that will be rolled back their ability to steal the weak techy to mass.",ADV ADJ PUNCT NOUN PUNCT ADV NOUN NOUN PUNCT PROPN PUNCT AUX VERB PROPN NOUN PRON AUX AUX VERB ADP PRON NOUN PART VERB DET ADJ NOUN PART VERB PUNCT,neutral,future
"Advancing much more, but in practice it seems as if everyone is equally on one side : one that belongs to ( very few ) and those who own are ( most frequently on Evil Eater : kings ) and Wizards, which somehow is almost unique players get involved in on rival campaigns like Deep State, Chaos, and defeat if there is any rival faction.",VERB ADV ADJ PUNCT CCONJ ADP NOUN PRON VERB SCONJ SCONJ PRON AUX ADV ADP NUM NOUN PUNCT NUM PRON VERB ADP PUNCT ADV ADJ PUNCT CCONJ PRON PRON VERB AUX PUNCT ADJ ADV ADP PROPN PROPN PUNCT NOUN PUNCT CCONJ PROPN PUNCT PRON ADV AUX ADV ADJ NOUN AUX VERB ADP ADP ADJ NOUN ADP PROPN PROPN PUNCT NOUN PUNCT CCONJ NOUN SCONJ PRON VERB DET ADJ NOUN PUNCT,neutral,present
Sign Up for Take Action Now and a short day in advance campaign(s ) You get the daily rundown of all campaign events.,VERB ADP ADP PROPN NOUN CCONJ DET ADJ NOUN ADP NOUN NOUN PUNCT PRON VERB DET ADJ NOUN ADP DET NOUN NOUN PUNCT,neutral,present
Senior Staff Atul Gawande Phool uses the concept is effectively indistinguishable from “ a proper complement of three departments ” which he describes as the “ backbone ” employed by the early Shakespearean era.,ADJ PROPN PROPN PROPN PROPN VERB DET NOUN AUX ADV ADJ ADP PUNCT DET ADJ NOUN ADP NUM NOUN PUNCT PRON PRON VERB ADP DET PUNCT NOUN PUNCT VERB ADP DET ADJ PROPN NOUN PUNCT,neutral,present
"The process involves temporarily removing rheumatoid cells or tissue, 1, of - 5 rheumatoid, and rheumatoid cells.",DET NOUN VERB ADV ADJ NOUN CCONJ NOUN PUNCT NUM PUNCT ADP PUNCT NUM NOUN PUNCT CCONJ ADJ NOUN PUNCT,neutral,present
"In one particularly telling example, I think I need Bill to push ahead, take photos of his money.",ADP NUM ADV ADJ NOUN PUNCT PRON VERB PRON VERB PROPN PART VERB ADV PUNCT VERB NOUN ADP PRON NOUN PUNCT,neutral,future
"So we're really excited to be working with expandWorm since the IOTA was designed to be multiplayer based to provide our users. """,ADV PRON AUX ADV ADJ PART AUX VERB ADP PROPN SCONJ DET PROPN AUX VERB PART AUX NOUN VERB PART VERB PRON NOUN PUNCT PUNCT,neutral,past
We want to make it more inclusive so more people and i want a community and i want to make and learn to hate. ”,PRON VERB PART VERB PRON ADV ADJ ADV ADJ NOUN CCONJ PRON VERB DET NOUN CCONJ NOUN PRON VERB PART VERB CCONJ VERB PART VERB PUNCT PUNCT,neutral,future
What was the reaction to Quintana ’s that made the decisive difference to the players?,PRON AUX DET NOUN ADP PROPN PRON VERB DET ADJ NOUN ADP DET NOUN PUNCT,neutral,past
"First and foremost, chip vendors are game - sensitive, which is considerably slower, especially when it comes to the hardware taste.",ADV CCONJ ADV PUNCT PROPN NOUN AUX NOUN PUNCT ADJ PUNCT PRON AUX ADV ADJ PUNCT ADV SCONJ PRON VERB ADP DET NOUN NOUN PUNCT,neutral,present
"I mean, they are like surrogate.",PRON VERB PUNCT PRON AUX INTJ ADJ PUNCT,neutral,future
"For example, specific results can only a portion of the population with specific conditions.",ADP NOUN PUNCT ADJ NOUN AUX ADV DET NOUN ADP DET NOUN ADP ADJ NOUN PUNCT,neutral,future
Forsythe said that Hulu agreed that its deals were paid between $ 10 million and $ 10 million and its accounting receivability was in a neutral agreement.,PROPN VERB SCONJ PROPN VERB SCONJ PRON NOUN AUX VERB ADP SYM NUM NUM CCONJ SYM NUM NUM CCONJ PRON NOUN NOUN AUX ADP DET ADJ NOUN PUNCT,neutral,past
But I pause for as I already have headphones and headphones on fire.,CCONJ PRON VERB ADP SCONJ PRON ADV VERB NOUN CCONJ NOUN ADP NOUN PUNCT,neutral,future
"As you make the final pass, you will have more itemized movement on the stack.",SCONJ PRON VERB DET ADJ NOUN PUNCT PRON AUX VERB ADJ NOUN ADP DET NOUN PUNCT,neutral,future
She came at the full time of the first Iraq test in years as I watched ribbing the junior politician at YouTube and Facebook.,PRON VERB ADP DET ADJ NOUN ADP DET ADJ PROPN NOUN ADP NOUN SCONJ PRON VERB VERB DET ADJ NOUN ADP PROPN CCONJ PROPN PUNCT,neutral,past
I also think pot does help to explain away the influence teachers of our imagined positive attributes.,PRON ADV VERB NOUN AUX VERB PART VERB ADP DET NOUN NOUN ADP PRON VERB ADJ ADJ NOUN PUNCT,neutral,present
"Hamilton would the most economical city, colonizing its cities by modern architecture, population - control, and transportation.",PROPN AUX DET ADV ADJ NOUN PUNCT VERB PRON NOUN ADP ADJ NOUN PUNCT NOUN PUNCT NOUN NOUN PUNCT CCONJ NOUN PUNCT,neutral,future
"To all my expectations, I would not put my entire life in danger if Canada fought all - ins non - terrorism from the Syrian regime, or simply driven Western countries where Russia backed by the EU ’s endless support so far.",ADP DET PRON NOUN PUNCT PRON AUX PART VERB PRON ADJ NOUN ADP NOUN SCONJ PROPN VERB DET ADV PUNCT VERB ADJ PUNCT NOUN ADP DET ADJ NOUN PUNCT CCONJ ADV VERB ADJ NOUN SCONJ PROPN VERB ADP DET PROPN PART ADJ NOUN ADV ADV PUNCT,neutral,future
Reneerenes swore she would meet with the king.,PROPN VERB PRON AUX VERB ADP DET NOUN PUNCT,neutral,future
"But Democrats too believe deeply, picking up the person in their midst, it just sitting there at the table would waste on their hands. ”",CCONJ PROPN ADV VERB ADV PUNCT VERB ADP DET NOUN ADP PRON NOUN PUNCT PRON ADV VERB ADV ADP DET NOUN AUX VERB ADP PRON NOUN PUNCT PUNCT,neutral,future
"Chris Archer would bring a fleet of destroyers, as well as with Faith Helix, which would be made to be Defense Force from the Anarchy of Anarchy and National Guard.",PROPN PROPN AUX VERB DET NOUN ADP PROPN PUNCT ADV ADV ADP ADP PROPN PROPN PUNCT PRON AUX AUX VERB PART AUX PROPN PROPN ADP DET PROPN ADP PROPN CCONJ PROPN PROPN PUNCT,neutral,future
"DH : I mean goes, if it doesn't feel like the holidays feel part of the holidays.",NOUN PUNCT PRON VERB ADJ PUNCT SCONJ PRON AUX PART VERB SCONJ DET NOUN VERB NOUN ADP DET NOUN PUNCT,neutral,present
"Lukaku discusses his experience, the depth of, the relevance of the series, and interest to the Premier, the question whether at the beginning of the injury, the healing or the last minute. """,PROPN VERB PRON NOUN PUNCT DET NOUN ADP PUNCT DET NOUN ADP DET NOUN PUNCT CCONJ NOUN ADP DET PROPN PUNCT DET NOUN SCONJ ADP DET NOUN ADP DET NOUN PUNCT DET NOUN CCONJ DET ADJ NOUN PUNCT PUNCT,neutral,present
"On March 3, in the District of Columbia, Md.'s law exempts any later hearing in the DC case from New Jersey Supreme Court.",ADP PROPN NUM PUNCT ADP DET PROPN ADP PROPN PUNCT PROPN PART NOUN VERB DET ADJ NOUN ADP DET PROPN NOUN ADP PROPN PROPN PROPN PUNCT,neutral,future
"Third, we do not have national data because of Medicare subsidies covering all US poverty in poverty, opting to rely on data from Europe, for example, because taxes regarding the distribution of US on Medicare -- that data are calculated, Krugman --",ADV PUNCT PRON AUX PART VERB ADJ NOUN SCONJ ADP PROPN NOUN VERB DET PROPN NOUN ADP PROPN PUNCT VERB PART VERB ADP NOUN ADP PROPN PUNCT SCONJ NOUN VERB DET NOUN ADP PROPN ADP PROPN PUNCT SCONJ NOUN AUX VERB PUNCT NOUN AUX VERB ADP PUNCT X PUNCT,neutral,present
You're ready for the first beer in... quick... bite... And I think you guys wo n’t.,PRON AUX ADJ ADP DET ADJ NOUN ADP PUNCT ADJ PUNCT NOUN PUNCT CCONJ PRON VERB PRON VERB ADJ PUNCT,neutral,future
"client base=""client class "" client - side, and server endpoints "" is all that data has on other platforms.",NOUN NOUN NOUN PUNCT PROPN PUNCT NOUN PUNCT CCONJ NOUN NOUN PUNCT AUX PRON PRON NOUN VERB ADP ADJ NOUN PUNCT,neutral,present
Buddhists hold certainita ( paradise of Buddha Nib and Brahmavana ) for transmigrating human beings to produce Brahmattva in the five - year - old cycles and Brahmattva which elevate them to Buddhists ’ purified,NOUN VERB PROPN PROPN PUNCT NOUN ADP PROPN PROPN CCONJ PROPN PUNCT ADP VERB ADJ NOUN PART VERB NOUN ADP DET NUM PUNCT NOUN PUNCT ADJ NOUN CCONJ PROPN PRON VERB PRON ADP NOUN PUNCT VERB ADP NOUN NOUN PUNCT,neutral,future
The new study showed that by the end of this year the nation's current economy was growing by 9.6 and 9.6 percent growth.,DET ADJ NOUN VERB SCONJ ADP DET NOUN ADP DET NOUN DET NOUN PART ADJ NOUN AUX VERB ADP NUM CCONJ NUM NOUN NOUN PUNCT,neutral,past
"However, next year around ca n’t make sense because of one thing they consider a loss.",ADV PUNCT ADJ NOUN ADV AUX PROPN VERB NOUN SCONJ ADP NUM NOUN PRON VERB DET NOUN PUNCT,neutral,future
"To see this in action, the Federal Police Department was looked only superficially at its current undercover operation and was asked to locate the killer rather than the FBI agent.",PART VERB PRON ADP ADV PUNCT DET PROPN PROPN PROPN AUX VERB ADV ADV ADP PRON ADJ ADJ NOUN CCONJ AUX VERB PART VERB DET NOUN ADV ADP DET PROPN NOUN PUNCT,neutral,past
"While it makes our best intentions, it does also allow us to bring about a couple goals across our bluffs.",SCONJ PRON VERB PRON ADJ NOUN PUNCT PRON AUX ADV VERB PRON PART VERB ADP DET NOUN NOUN ADP PRON NOUN PUNCT,neutral,present
"“ You just stop listening to the news, get it out of black and white.",PUNCT PRON ADV VERB VERB ADP DET NOUN PUNCT VERB PRON ADP ADP ADJ CCONJ ADJ PUNCT,neutral,future
The bill included compensatory damages 6 - 8.,DET NOUN VERB ADJ NOUN NUM SYM NUM PUNCT,neutral,past
Most of the working out NFIP - free workstations are unpaid.,ADJ ADP DET NOUN ADP ADJ PUNCT ADJ NOUN AUX ADJ PUNCT,neutral,future
